raw_genre,canonical_genre,layer,note
stark music,,unmapped,
swagger,,unmapped,
swiss hip-hop,Hip-Hop / Rap,rule,
theremin,,unmapped,
too much marsh-mallow,,unmapped,
tradicional mexicana,Latin,rule,
twang,,unmapped,
twins,,unmapped,
uitluisteren artist,,unmapped,
vallejo,,unmapped,
wncw,,unmapped,
zambia,,unmapped,
acts i have seen,,unmapped,
ambient bliss,Ambient / Instrumental,rule,
another fucked up spotify tag,,unmapped,
backstreet boys,,unmapped,
bahai,,unmapped,
bairisch,,unmapped,
bands seen live,,unmapped,
bloods,,unmapped,
charlottesville,,unmapped,
charly flow,,unmapped,
christian underground,Christian / Gospel,rule,
christine collister,,unmapped,
contemporary christian,Christian / Gospel,rule,
contemporary folk,Folk / Acoustic,rule,
coolest person alive,,unmapped,
cosmic disco,R&B / Soul,rule,
countrycore,Country,rule,
creative capitalism,,unmapped,
crustcore,,unmapped,
darryl williams,,unmapped,
devision,,unmapped,
dominican,,unmapped,
dreampunk,,unmapped,
eastern europe,,unmapped,
electronic art-song,Electronic / Dance,rule,
electronics,Electronic / Dance,rule,
electrotango,Electronic / Dance,rule,
elise witt,,unmapped,
fierece panda,,unmapped,
footwork,Electronic / Dance,rule,
french house,Electronic / Dance,rule,
fucking awesome,,unmapped,
g w rundfunkorchester,R&B / Soul,rule,
gapap,,unmapped,
general hospital,,unmapped,
girl rock,Rock,rule,
gothabilly,,unmapped,
greek pop,Pop,rule,
groove death metal,Metal,rule,
grr,,unmapped,
guaro,,unmapped,
guinea,,unmapped,
hard rock/heavy metal,Metal,rule,
hard-n-blues,Blues,rule,
hardbass,,unmapped,
hooligans,,unmapped,
impressionist,,unmapped,
irish punk,Punk / Hardcore,rule,
jazz modern,Jazz,rule,
jazz-instrumental,Jazz,rule,
katie cruel,,unmapped,
kentsimbtemp,,unmapped,
lds music,Christian / Gospel,rule,
lieder,,unmapped,
liquid drum and bass,Electronic / Dance,rule,
madrid,,unmapped,
momus,,unmapped,
moncton,,unmapped,
muted,,unmapped,
nedal,,unmapped,
neo-rockabilly,Rock,rule,
neo-swing,Jazz,rule,
neo-weimar cabaret,,unmapped,
nerd music,,unmapped,
north macedonia,,unmapped,
norwich,,unmapped,
one hit wonder,,unmapped,
persian rock,Rock,rule,
post-thrash metal,Metal,rule,
praise gathering,Christian / Gospel,rule,
psych-folk,Rock,rule,
punkrock - punk,Punk / Hardcore,rule,
ragga,Reggae,rule,
rap rock,Hip-Hop / Rap,rule,
rock gaucho,Rock,rule,
rock noir,Rock,rule,
rokirol,,unmapped,
romania,,unmapped,
romanticism,,unmapped,
seen live by chrischan,,unmapped,
seen live twice,,unmapped,
soundcloud,,unmapped,
speedrock,Rock,rule,
spincycle,,unmapped,
strange accent,,unmapped,
strange famous,,unmapped,
stuart,,unmapped,
swampabilly rock,Rock,rule,
swedish metal,Metal,rule,
tar,,unmapped,
tex mex,,unmapped,
the five fifths,,unmapped,
thrice,,unmapped,
toolbox instruments,,unmapped,
traditional gospel,Christian / Gospel,rule,
tv show,,unmapped,
vocal trance,Electronic / Dance,rule,
weihnachten,,unmapped,
west coast hip hop,Hip-Hop / Rap,rule,
winds,,unmapped,
yoga,,unmapped,
acid techno,Electronic / Dance,rule,
acoustic guitarist,Folk / Acoustic,rule,
afro,World,rule,
algerian,,unmapped,
allboutguitarcom,,unmapped,
ambient experimental,Ambient / Instrumental,rule,
american alternative,World,rule,
annabelle chvostek,,unmapped,
atmospheric drum and bass,Electronic / Dance,rule,
austin tx,,unmapped,
bandcampcom,,unmapped,
bands,,unmapped,
baritone voice,,unmapped,
barsuk,,unmapped,
bbc radiophonic workshop,,unmapped,
beatles cover song,,unmapped,
belize,,unmapped,
bizarre,,unmapped,
blackbird,,unmapped,
blackgaze,,unmapped,
blade,,unmapped,
blues guitar,Blues,rule,
boom bap,Hip-Hop / Rap,rule,
brass quintet,,unmapped,
brc blues band,Blues,rule,
canadian country,Country,rule,
catalunya,,unmapped,
chemnitz,,unmapped,
comoros,,unmapped,
costa rica,,unmapped,
cristiana,,unmapped,
cro-dance,Electronic / Dance,rule,
dalecarlia,,unmapped,
de la bombe,,unmapped,
deep dish,,unmapped,
destination eurovision,,unmapped,
doc ellis,,unmapped,
douche,,unmapped,
early jazz,Jazz,rule,
edwin mccain,,unmapped,
experimental folk,Folk / Acoustic,rule,
experimental pop,Pop,rule,
femmes de jazz,Jazz,rule,
fonoarte,,unmapped,
franco-americana,Country,rule,
frank turner,,unmapped,
free guitar,,unmapped,
future bounce,,unmapped,
gainesville,,unmapped,
genious,,unmapped,
greek rock,Rock,rule,
habanera,,unmapped,
heave metal,Metal,rule,
higgins,,unmapped,
hip-hop reggae,Hip-Hop / Rap,rule,
holiday,,unmapped,
hot poop,,unmapped,
i love this song,,unmapped,
ina-grm,,unmapped,
indie rock that doesnt suck,Indie / Alternative,rule,
indietronic,Indie / Alternative,rule,
inne liszaj radio,,unmapped,
instrumental progressive rock,Rock,rule,
irish pub,,unmapped,
jazzie,Jazz,rule,
jesucristo,,unmapped,
john schmersal,,unmapped,
kalimba,,unmapped,
kiwi,,unmapped,
kpop,K-Pop,exact,
laswell,,unmapped,
lisping singer,,unmapped,
lithuanian pop,Pop,rule,
lsp,,unmapped,
lusofonia,,unmapped,
madchester,,unmapped,
marco antonio solis,,unmapped,
mau,,unmapped,
mauritania,,unmapped,
mental health,,unmapped,
mike andrews sex,,unmapped,
mridangam,,unmapped,
mumford and sons,,unmapped,
must buy it,,unmapped,
mynister favorite artists,,unmapped,
narcocorrido,Latin,rule,
neon meate fish,,unmapped,
neoprog,,unmapped,
nichopoulooza,,unmapped,
nirvana,,unmapped,
nubian,,unmapped,
nueva cancion,,unmapped,
occhiali di un certo livello,,unmapped,
olympia,,unmapped,
orthodox,,unmapped,
perfect,,unmapped,
pfabtrax,,unmapped,
poet,,unmapped,
pop-punk,Punk / Hardcore,rule,
progressive space rock,Rock,rule,
puerto rican metal,Metal,rule,
punkrock,Rock,rule,
qeuyl,,unmapped,
random pop,Pop,rule,
rapida y mortal,,unmapped,
relaxation,Ambient / Instrumental,rule,
rock-folk,Rock,rule,
rockmex,Rock,rule,
saskatoon,,unmapped,
sendai,,unmapped,
sevillana,,unmapped,
sirens of song,,unmapped,
sleaze,,unmapped,
slide guitar blues,Blues,rule,
slovenian,,unmapped,
smell of female,,unmapped,
softstep,,unmapped,
son,,unmapped,
sound effect,,unmapped,
south park coalition,,unmapped,
spa-37,,unmapped,
spanish alternative hip-hop,Hip-Hop / Rap,rule,
spiritual jazz,Jazz,rule,
steve kilbey,,unmapped,
steve wood,,unmapped,
surf music,Rock,rule,
sxsw 2007,,unmapped,
sxsw 2012,,unmapped,
tajikistan,,unmapped,
tallahassee local,,unmapped,
tasmania,,unmapped,
techno rave,Electronic / Dance,rule,
the haiku,,unmapped,
traditional ska,Reggae,rule,
treble,,unmapped,
tv,,unmapped,
type records,,unmapped,
violinist,,unmapped,
volle zalen,,unmapped,
vtuber,,unmapped,
wales,,unmapped,
werewolf metal,Metal,rule,
worldwide,World,rule,
zone indie,Indie / Alternative,rule,
abgehakt,,unmapped,
acoustic grind,Metal,rule,
adult contemporary,,unmapped,
alernative pop,Pop,rule,
alternative indie,Indie / Alternative,rule,
ambient guitar,Ambient / Instrumental,rule,
ambient noise,Ambient / Instrumental,rule,
anarchist hip-hop,Hip-Hop / Rap,rule,
angola,,unmapped,
anti-depressiv,,unmapped,
atychiphobia,,unmapped,
bad bob,,unmapped,
berkeley,,unmapped,
billy powell,,unmapped,
blackened heavy metal,Metal,rule,
bolivian,,unmapped,
brazilian rock,Rock,rule,
british punk,Punk / Hardcore,rule,
cameroun,,unmapped,
candy of the gods,,unmapped,
celo,,unmapped,
chansonnier,,unmapped,
chill906,Ambient / Instrumental,rule,
country dark,Country,rule,
creepy rock,Rock,rule,
crossbreed,,unmapped,
d-beat,,unmapped,
dark arjo,,unmapped,
demo,,unmapped,
donald swann,,unmapped,
doomgaze,,unmapped,
driving music,,unmapped,
drumm,,unmapped,
east midlands,,unmapped,
eez,,unmapped,
ekb,,unmapped,
electro progressive rock,Rock,rule,
electro-pop,Electronic / Dance,rule,
electronic dance,Electronic / Dance,rule,
elvis costello,,unmapped,
enfants,,unmapped,
environmental,,unmapped,
equatorial guinea,,unmapped,
espiritualismo,,unmapped,
fascista,,unmapped,
flatpicking guitar,,unmapped,
found on stumble audio,,unmapped,
friends,,unmapped,
from africa,World,rule,
funky house,Electronic / Dance,rule,
game remixes,,unmapped,
garage rock revival,Rock,rule,
georgia,,unmapped,
groove thrash metal,Metal,rule,
guitare,,unmapped,
hammond,,unmapped,
hard dance,Electronic / Dance,rule,
harmonies,,unmapped,
hula hoopcore,,unmapped,
hurdy-gurdy,,unmapped,
husker du,,unmapped,
hypnotic,,unmapped,
icepunk,,unmapped,
iggy worship,Christian / Gospel,rule,
improvised music,,unmapped,
independent female soul,R&B / Soul,rule,
independent hip-hop,Hip-Hop / Rap,rule,
indipendent rock,Rock,rule,
inspirational,,unmapped,
italian folk,Folk / Acoustic,rule,
j moss,,unmapped,
jazz bass,Jazz,rule,
jennifer,,unmapped,
jersey club music,Electronic / Dance,rule,
johnny cash,,unmapped,
justin roberts,,unmapped,
kingdom heirs,,unmapped,
kleinkunst,,unmapped,
kyrie,,unmapped,
la buissonne,,unmapped,
lauren talley,,unmapped,
literally who,,unmapped,
long island indie bands,Indie / Alternative,rule,
lost bands,,unmapped,
lush,,unmapped,
marvin sease,,unmapped,
mary timony,,unmapped,
memorable,,unmapped,
merenhouse,Electronic / Dance,rule,
metallic hardcore,Punk / Hardcore,rule,
michael wendler,,unmapped,
modular,,unmapped,
neko case,,unmapped,
ninos,,unmapped,
nintendo,,unmapped,
nuevo flamenco guitar,Latin,rule,
obscure psych garage,,unmapped,
obscuresqism,,unmapped,
oregon,,unmapped,
paddy power,,unmapped,
paisley underground revival,,unmapped,
paisley-pop,Pop,rule,
parts of the body,,unmapped,
pepe aguilar,,unmapped,
pipes,,unmapped,
pixies,,unmapped,
post-revolutionary pop song,Pop,rule,
progressive gothic rock,Rock,rule,
progressive thrash metal,Metal,rule,
prophetic worship,Christian / Gospel,rule,
protest music,,unmapped,
pwnerer,,unmapped,
raaap,,unmapped,
radical jewish culture,,unmapped,
robert pollard,,unmapped,
rock artist,Rock,rule,
san diego rap,Hip-Hop / Rap,rule,
santoor,,unmapped,
saw these dudes,,unmapped,
seen live x1,,unmapped,
send more cops,,unmapped,
sf,,unmapped,
similar to lou reed,,unmapped,
sleaze glam,,unmapped,
songs for a crappy mood,,unmapped,
sons of william,,unmapped,
soomo,,unmapped,
soothing,,unmapped,
southern gothic,,unmapped,
spanish guitar,,unmapped,
spoko,,unmapped,
strings,,unmapped,
sxsw 2015,,unmapped,
sydney,,unmapped,
tatar,,unmapped,
ten tracks,,unmapped,
tennessee,,unmapped,
the lightning bug situation,,unmapped,
trailercore,Soundtrack / Musical,rule,
troy roberts,,unmapped,
tuareg,,unmapped,
uk bass,,unmapped,
vermont,,unmapped,
visual jazz,Jazz,rule,
vocaroid,,unmapped,
want to see live,,unmapped,
world jazz,Jazz,rule,
alaskan,,unmapped,
albanian jazz,Jazz,rule,
alberto mizrahi,,unmapped,
alison krauss,,unmapped,
alt-folk,Folk / Acoustic,rule,
alternative hip-hop,Hip-Hop / Rap,rule,
alto sax,,unmapped,
arabic rock,Rock,rule,
atheist,,unmapped,
baby come back to ellokal,,unmapped,
baritone,,unmapped,
blah,,unmapped,
bodhran,,unmapped,
boleros,Latin,rule,
boston rap music,Hip-Hop / Rap,rule,
brassband,,unmapped,
burmese,,unmapped,
burundi,,unmapped,
cari cole,,unmapped,
carla bozulich,,unmapped,
chilled,Ambient / Instrumental,rule,
clinically romantic,,unmapped,
comedic,,unmapped,
conan neutron,,unmapped,
conjunto,,unmapped,
corridos tumbados,Latin,rule,
country-folk,Country,rule,
cowhat tex,,unmapped,
czech republic,,unmapped,
dance floor,Electronic / Dance,rule,
datt geht app,,unmapped,
digital,,unmapped,
dirty american rock and roll,Rock,rule,
dreampop,Pop,rule,
eesti laul,,unmapped,
elliott smith,,unmapped,
eminem,,unmapped,
estrada,,unmapped,
ethno,,unmapped,
fake explorer music,,unmapped,
falmouth,,unmapped,
female jazz,Jazz,rule,
female rapper,,unmapped,
female singer-songwriter,Folk / Acoustic,rule,
femmes,,unmapped,
flint,,unmapped,
folk artist,Folk / Acoustic,rule,
folksinger,Folk / Acoustic,rule,
freakbeat,,unmapped,
full on,,unmapped,
goddess,,unmapped,
gothic synth,,unmapped,
govno,,unmapped,
grupo caribe,,unmapped,
guitar pop,Pop,rule,
guqin,,unmapped,
hairspray,,unmapped,
hard rock n roll,Rock,rule,
hardworkin,,unmapped,
heavy grunge,Rock,rule,
hebrew,,unmapped,
hippy,,unmapped,
horror metal,Metal,rule,
hot bass player,,unmapped,
industrial hardcore,Punk / Hardcore,rule,
instrumenta,,unmapped,
j richey,,unmapped,
jammin,,unmapped,
jay-z,,unmapped,
jazz saxophone,Jazz,rule,
je ne sais quoi,,unmapped,
jim adkins,,unmapped,
jm,,unmapped,
kid27,,unmapped,
kinsella,,unmapped,
koboogie,,unmapped,
lastfmsc,,unmapped,
linksautonom,,unmapped,
listen,,unmapped,
math-rock,Rock,rule,
mediaeval,,unmapped,
melodeon,,unmapped,
micol davis,,unmapped,
mixed-hip hop,Hip-Hop / Rap,rule,
modern hard rock,Rock,rule,
mom-jeans metal,Metal,rule,
mozart,,unmapped,
muzyka klasyczna,,unmapped,
my fav rapper,,unmapped,
native,World,rule,
new weird american,,unmapped,
newcastle upon tyne,,unmapped,
niegrywalne,,unmapped,
nu-bluz,,unmapped,
nu-soul,R&B / Soul,rule,
nuyurican salsa,Latin,rule,
oklahoma city,,unmapped,
on fire,,unmapped,
organ jazz,Jazz,rule,
passion of discovery,,unmapped,
podcasts,,unmapped,
poetic justice,,unmapped,
politician,,unmapped,
pornogrind,Metal,rule,
psycore,,unmapped,
rent,,unmapped,
retro soul,R&B / Soul,rule,
rhythm and flow,,unmapped,
rockandroll,Rock,rule,
rwanda,,unmapped,
scott andrew,,unmapped,
scumbag politicians,,unmapped,
senegalese,,unmapped,
skatepunk,,unmapped,
smooth,,unmapped,
smooth flow,,unmapped,
smoothjazz,Jazz,rule,
so sad they broke up,,unmapped,
spanner,,unmapped,
stellar vocals,,unmapped,
stephen sondheim,,unmapped,
super,,unmapped,
symphonic jazz,Jazz,rule,
the stranglers,,unmapped,
thorsten wingenfelder,,unmapped,
tierreich,,unmapped,
to check out,,unmapped,
to tag,,unmapped,
tracey bunn,,unmapped,
traditional-folk,Folk / Acoustic,rule,
transym,,unmapped,
trock,Rock,rule,
tropical pop,Pop,rule,
trstenik,,unmapped,
tru serva,,unmapped,
tru wealth,,unmapped,
twitch,,unmapped,
twitch streamer,,unmapped,
upright bass,,unmapped,
us rock,Rock,rule,
western angles,,unmapped,
zarzuela,,unmapped,
aaron,,unmapped,
alternative and punk,Punk / Hardcore,rule,
alternative folk,Folk / Acoustic,rule,
alternative grunge,Rock,rule,
atmospheric metal,Metal,rule,
baglama,,unmapped,
bass clarinet,,unmapped,
bay area rap,Hip-Hop / Rap,rule,
biker punk,Punk / Hardcore,rule,
blackened deathcore,,unmapped,
blackened thrash metal,Metal,rule,
blues guitarist,Blues,rule,
brian russell cook,,unmapped,
brisom,,unmapped,
buascaaaa,,unmapped,
carnival,,unmapped,
carolina,,unmapped,
compton,,unmapped,
copla,,unmapped,
deep portent,,unmapped,
deep techno,Electronic / Dance,rule,
eclectic,,unmapped,
electro shock,Electronic / Dance,rule,
english folk,Folk / Acoustic,rule,
evolution,,unmapped,
female art rap,Hip-Hop / Rap,rule,
film,Soundtrack / Musical,rule,
flemish,,unmapped,
folk jazz,Jazz,rule,
funk rock jam band,Rock,rule,
future,,unmapped,
gdr,,unmapped,
greek black metal,Metal,rule,
guitar ambient,Ambient / Instrumental,rule,
hip hop/rap,Hip-Hop / Rap,rule,
hymns,Christian / Gospel,rule,
i heard this live,,unmapped,
illbient,,unmapped,
inglaterra,,unmapped,
jazz big band,Jazz,rule,
jazz cubano,Jazz,rule,
jazz trio,Jazz,rule,
jessica will,,unmapped,
joseph vincelli,,unmapped,
juggalo,,unmapped,
just jazz,Jazz,rule,
k breeze,,unmapped,
kurdistan,,unmapped,
la,,unmapped,
les six,,unmapped,
library,,unmapped,
little song song,,unmapped,
living legends,,unmapped,
love song,,unmapped,
loveeee,,unmapped,
mbira,,unmapped,
microhouse,Electronic / Dance,rule,
midwest emo,,unmapped,
moroccan,,unmapped,
music from the world of osho,World,rule,
music i tried but didnt like,,unmapped,
pakistani,,unmapped,
pittsburgh,,unmapped,
plunderphonics,,unmapped,
post-vaporwave,Electronic / Dance,rule,
prince,,unmapped,
radio,,unmapped,
rare,,unmapped,
re,,unmapped,
robert bradley,,unmapped,
rock francais,Rock,rule,
rock-poppunkrock,Rock,rule,
rose-records,,unmapped,
rugu,,unmapped,
sacred music,Christian / Gospel,rule,
sbq,,unmapped,
sellaband,,unmapped,
shout band,,unmapped,
slimepunk,,unmapped,
soulful house,Electronic / Dance,rule,
straight edge,,unmapped,
susan bailey,,unmapped,
sxsw 2016,,unmapped,
symphonic prog,Classical,rule,
the simpsons,,unmapped,
the young brothers,,unmapped,
thrash death metal,Metal,rule,
timba,,unmapped,
tokyo,,unmapped,
turkey,,unmapped,
uketronica,,unmapped,
video game remixes,Soundtrack / Musical,rule,
waltz,,unmapped,
washington,,unmapped,
wave,,unmapped,
wind band,,unmapped,
acid rock,Rock,rule,
actor,,unmapped,
afro-pop,Pop,rule,
animals,,unmapped,
aztec,,unmapped,
bata,,unmapped,
blackcoats,,unmapped,
blackened hardcore,Punk / Hardcore,rule,
bossanova,Latin,rule,
brony,,unmapped,
calgary,,unmapped,
carolina hip-hop,Hip-Hop / Rap,rule,
divas international,,unmapped,
eholidays,,unmapped,
film-musik,Soundtrack / Musical,rule,
galicia,,unmapped,
gimme sum friends,,unmapped,
gospel hiphop,Hip-Hop / Rap,rule,
hi-tech,,unmapped,
hip-hop bass,Hip-Hop / Rap,rule,
hugo kant,,unmapped,
industrial hip-hop,Hip-Hop / Rap,rule,
innerearmedia,,unmapped,
instrumental hip hop,Hip-Hop / Rap,rule,
jalebi,,unmapped,
kawaii electro house,Electronic / Dance,rule,
killer grooves,,unmapped,
korean grime,Hip-Hop / Rap,rule,
louisville,,unmapped,
lovely music,,unmapped,
lyrical mastermind,,unmapped,
matthias reim,,unmapped,
medellin,,unmapped,
meditativ,Ambient / Instrumental,rule,
melodic thrash metal,Metal,rule,
metro zu,,unmapped,
minimal acoustique,,unmapped,
mm,,unmapped,
mood music,,unmapped,
musicals musicals,Soundtrack / Musical,rule,
nsfw show,,unmapped,
other,,unmapped,
political hip-hop,Hip-Hop / Rap,rule,
poprock,Rock,rule,
post-jazz,Jazz,rule,
post-punk revival,Punk / Hardcore,rule,
progressive black metal,Metal,rule,
progressive pop,Pop,rule,
quebecos,,unmapped,
rich man,,unmapped,
roots,,unmapped,
sami,,unmapped,
seen-live,,unmapped,
singing bowls,,unmapped,
sinik tree,,unmapped,
sound waves-house waves,Electronic / Dance,rule,
spanish rap,Hip-Hop / Rap,rule,
spapkatosh,,unmapped,
spider gang,,unmapped,
streetpunk,,unmapped,
structured improvisation,,unmapped,
temp3,,unmapped,
tempe rocks,Rock,rule,
the vitamin b12,,unmapped,
trap n roll,Hip-Hop / Rap,rule,
travel,,unmapped,
turk  muzigi,,unmapped,
wielmozny pan lubi,,unmapped,
wonderful,,unmapped,
wrongly tagged as twee,Indie / Alternative,rule,
yemen,,unmapped,
american cinema,,unmapped,
bh hip-hop,Hip-Hop / Rap,rule,
broken beat,,unmapped,
buxton,,unmapped,
chamber quartet,,unmapped,
chorus master,,unmapped,
christian metalcore,Metal,rule,
dr congo,,unmapped,
dyke,,unmapped,
e6townhall,,unmapped,
easycore,,unmapped,
enrapturing,,unmapped,
ewe monyet,,unmapped,
experimental ambient,Ambient / Instrumental,rule,
exuberant,,unmapped,
fucking slick,,unmapped,
garage pop,Pop,rule,
gnawa,,unmapped,
grindtime,Metal,rule,
hannah arterton,,unmapped,
hardcore techno,Electronic / Dance,exact,
hippie,,unmapped,
indie - canada,Indie / Alternative,rule,
jazzy,Jazz,rule,
jimin,,unmapped,
kanzleramt,,unmapped,
lalamusic,,unmapped,
library of congress,,unmapped,
lo-fi beat,,unmapped,
lovely,,unmapped,
lyrical,,unmapped,
m baptist,,unmapped,
mantras,,unmapped,
military,,unmapped,
opening bell coffee,,unmapped,
project icon,,unmapped,
rawk,,unmapped,
reggae hip-hop,Hip-Hop / Rap,rule,
rock alternativo,Rock,rule,
scribbling idiots,,unmapped,
scum punk,Punk / Hardcore,rule,
stones throw,,unmapped,
tgod,,unmapped,
tibetan bowl,,unmapped,
tpop,Pop,rule,
traditional chinese,,unmapped,
trios,,unmapped,
triple j,,unmapped,
tzadik,,unmapped,
v-pop,Pop,rule,
viola da gamba,,unmapped,
white boy,,unmapped,
zxzw,,unmapped,
alt z,,unmapped,
aquarius,,unmapped,
aussie hip hop,Hip-Hop / Rap,rule,
be not afraid,,unmapped,
beautycore,,unmapped,
best band of all time,,unmapped,
brooklands radio,,unmapped,
bubblegrunge,Rock,rule,
c s drezden,,unmapped,
cambodia,,unmapped,
cherelle,,unmapped,
computer music,,unmapped,
cuban-spanish composer,,unmapped,
david arkenstone,,unmapped,
denpa,,unmapped,
disco tag,R&B / Soul,rule,
drag queens,,unmapped,
drone ambient,Ambient / Instrumental,rule,
drum solo,,unmapped,
edsbro music,,unmapped,
epic trailer music,Soundtrack / Musical,rule,
exo,,unmapped,
go,,unmapped,
groovy,,unmapped,
hard house,Electronic / Dance,rule,
indien,Indie / Alternative,rule,
instrumental bluegrass,Country,rule,
isis trap,Hip-Hop / Rap,rule,
kalyan,,unmapped,
kids with guns,,unmapped,
localsupport,,unmapped,
lovers rock,Rock,rule,
male soul vocalists,R&B / Soul,rule,
march,,unmapped,
mars volta,,unmapped,
max barskih,,unmapped,
melbourne,,unmapped,
melodic deathcore,,unmapped,
mty nl mexico,Latin,rule,
multi-genre,,unmapped,
muppetcore,,unmapped,
neo-psychedelia,Rock,rule,
old timey,,unmapped,
ourstage,,unmapped,
rock-alternative,Rock,rule,
screwed up click,,unmapped,
singer and pundit,,unmapped,
sparse,,unmapped,
sweet talks cry your own cry,,unmapped,
tagalog,,unmapped,
talked to band-member,,unmapped,
teen pop,Pop,rule,
the scottish fiddle orchestra,Classical,rule,
twink,,unmapped,
url,,unmapped,
wat,,unmapped,
whispery,,unmapped,
american classical trumpeters,Classical,rule,
american classics,,unmapped,
australian hip hop,Hip-Hop / Rap,rule,
ayiti,,unmapped,
baritone sax,,unmapped,
booba,,unmapped,
boys,,unmapped,
brabo gator,,unmapped,
bremen hardcore,Punk / Hardcore,rule,
ca,,unmapped,
calm,,unmapped,
central asian,,unmapped,
check out later,,unmapped,
chill out,Ambient / Instrumental,rule,
colin donnell and patti murin,,unmapped,
college a cappella,,unmapped,
colombian,,unmapped,
deezer,,unmapped,
deutschland,,unmapped,
don't cry,,unmapped,
drain gang,,unmapped,
easy-listening,,unmapped,
euphoric hardstyle,Electronic / Dance,rule,
fab,,unmapped,
fidget house,Electronic / Dance,rule,
gothgaze,,unmapped,
great london band,,unmapped,
great voice,,unmapped,
hardcore rap,Punk / Hardcore,rule,
heavymetal,Metal,rule,
hemi-sync,,unmapped,
hindustani,,unmapped,
hip-hop new age,Hip-Hop / Rap,rule,
iggy azalea,,unmapped,
indian fusion,World,rule,
irish hip hop,Hip-Hop / Rap,rule,
iskelma,,unmapped,
jam legend,,unmapped,
jangle,Indie / Alternative,rule,
jazz pop,Jazz,rule,
jazz punk,Punk / Hardcore,rule,
justus league,,unmapped,
kompakt,,unmapped,
korea,,unmapped,
little shop of horrors,,unmapped,
lovestep,,unmapped,
m83,,unmapped,
male,,unmapped,
mark medlock,,unmapped,
microsound,,unmapped,
mimicrist,,unmapped,
my dear disco,R&B / Soul,rule,
new zealander,,unmapped,
nutsack rock,Rock,rule,
oper,,unmapped,
peak time techno,Electronic / Dance,rule,
phantom of the opera,Classical,rule,
pitbull,,unmapped,
power thrash metal,Metal,rule,
prog disco,R&B / Soul,rule,
psybounce,,unmapped,
raga,,unmapped,
ratholeradio,,unmapped,
s p c choir,Classical,rule,
schildknaapswag,,unmapped,
sephardic,,unmapped,
silly little monkey,,unmapped,
sixties,,unmapped,
south korea,,unmapped,
space music,,unmapped,
the bedford,,unmapped,
unblack metal,Metal,rule,
various,,unmapped,
victoria hume,,unmapped,
vietnam,SEA Pop,exact,
whalecore,,unmapped,
wheinachtsmusik,,unmapped,
where is my bong,,unmapped,
yung mal,,unmapped,
zappanale,,unmapped,
adult game,,unmapped,
arizona,,unmapped,
arranged game music,Soundtrack / Musical,rule,
b side,,unmapped,
bandcamp,,unmapped,
bassoon,,unmapped,
bible,,unmapped,
biddulph 121114,,unmapped,
buddhism,,unmapped,
check later,,unmapped,
classical music,Classical,rule,
dark progressive,,unmapped,
deep drum and bass,Electronic / Dance,rule,
dnb,Electronic / Dance,rule,
dpc promotions,,unmapped,
electro-house,Electronic / Dance,rule,
ex-yu synthpop,Pop,rule,
favorite artists,,unmapped,
free-jazz,Jazz,rule,
french pop,Pop,rule,
funeral doom,Metal,rule,
future riddim,,unmapped,
gone but not forgotten,,unmapped,
hamilton,,unmapped,
hermosabeach,,unmapped,
hillbilly,,unmapped,
idaho,,unmapped,
interesting,,unmapped,
iraqi,,unmapped,
irish fiddle,,unmapped,
italiano,,unmapped,
jonathas,,unmapped,
kazakhstan,,unmapped,
kraftwerk,,unmapped,
layered,,unmapped,
little star,,unmapped,
madagascar 5,,unmapped,
marschmusik,,unmapped,
matthew shell,,unmapped,
melodic doom metal,Metal,rule,
mixed-pop-rock,Rock,rule,
monterrey,,unmapped,
muchachita,,unmapped,
nigerian,,unmapped,
ob cast recording,,unmapped,
party music,,unmapped,
piano virtuoso,Ambient / Instrumental,rule,
play nice,,unmapped,
punjabi,,unmapped,
putzen,,unmapped,
rock chile,Rock,rule,
rock solid,Rock,rule,
ruk,,unmapped,
russian composers,,unmapped,
saxophone ensemble,,unmapped,
scandinavian girls,,unmapped,
schoolhouse rock,Rock,rule,
south park,,unmapped,
svenskakrusbar,,unmapped,
talking head,,unmapped,
tech-house,Electronic / Dance,rule,
techno house,Electronic / Dance,rule,
teenbeat,,unmapped,
the california ear unit,,unmapped,
the gambia,,unmapped,
tibetan traditional music,,unmapped,
tim stafford,,unmapped,
tuva,,unmapped,
u2,,unmapped,
vanuatu,,unmapped,
venezuelan,,unmapped,
wonderland,,unmapped,
zcat,,unmapped,
actress,,unmapped,
african reggae artists,Reggae,rule,
albania,,unmapped,
american classical bassoonists,Classical,rule,
artcore,,unmapped,
audiomatique,,unmapped,
bad tagged,,unmapped,
baroque pop,Classical,rule,
bemani,,unmapped,
benharrell,,unmapped,
beovizija,,unmapped,
blugrass,,unmapped,
brandeis,,unmapped,
brazilian metal,Metal,rule,
caissie levy,,unmapped,
canadian rap,Hip-Hop / Rap,rule,
cellist,,unmapped,
cheesy,,unmapped,
chicago house,Electronic / Dance,rule,
chill baile,Ambient / Instrumental,rule,
chine,,unmapped,
choons,,unmapped,
congolese,,unmapped,
cpop,C-Pop / Mandopop,exact,
cute,,unmapped,
cymraeg,,unmapped,
danish female vocalists,,unmapped,
dansband,,unmapped,
ddr-musik,,unmapped,
deep,,unmapped,
delicate,,unmapped,
dischord,,unmapped,
disco house,Electronic / Dance,rule,
discovered through bandcamp,,unmapped,
djmax,,unmapped,
dlo records,,unmapped,
doujin,,unmapped,
dumb-unit,,unmapped,
